attribute_group_link_id,attribute_id,group_id
1,1,1
2,2,1
3,23,2
4,24,2
5,25,2
6,26,2
7,27,2
8,28,2
9,29,2
10,30,2
11,31,2
12,32,2
13,33,2
14,34,3
15,35,3
16,36,3
17,37,3
18,38,3
19,39,4
20,40,4
21,41,4
22,42,4
23,43,4
24,44,4
25,45,5
26,46,5
27,47,5
28,48,5
29,49,5
30,50,5
31,51,5
32,52,6
33,53,6
34,54,6
35,55,6
36,56,6
37,57,6
38,58,6
39,59,6
40,60,7
41,61,7
42,62,7
43,63,7
44,64,7
45,65,7
46,66,8
47,67,8
48,68,8
49,69,8
50,70,9
51,71,9
52,72,9
53,73,9
54,74,9
55,75,10
56,76,10
57,77,10
58,78,10
59,79,11
60,80,11
61,81,12
62,82,12
63,83,12
64,84,13
65,85,13
66,86,14
