attribute_group_id,uuid,group_name,created_at,updated_at
1,645d1f55-ebf2-49b9-94de-daf4ef76fa0a,Default,2025-09-28T18:08:27.792Z,2025-09-28T18:08:27.792Z
2,8c6d0a3e-2b1f-4e4a-9a6f-1f2a3b4c5d6e,Computers,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
3,2f3a4b5c-6d7e-489a-bc01-2a3b4c5d6e7f,RAM,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
4,3b4c5d6e-7f80-41a2-9b3c-4d5e6f7a8b9c,CPU,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
5,4c5d6e7f-8091-42b3-ac4d-5e6f7a8b9c0d,Storage (HDD/SSD),2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
6,5d6e7f80-9123-43c4-bd5e-6f7a8b9c0d1e,Motherboards,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
7,6e7f8091-2345-44d5-ce6f-7a8b9c0d1e2f,GPU,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
8,7f809123-4567-45e6-df7a-8b9c0d1e2f3a,PSU,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
9,80912345-6789-46f7-ea8b-9c0d1e2f3a4b,Cases,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
10,09123456-789a-4708-fb9c-0d1e2f3a4b5c,Cooling,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
11,11223344-5566-4789-a0b1-c2d3e4f5a6b7,Expansion Cards,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
12,22334455-6677-489a-b1c2-d3e4f5a6b7c8,Cables & Accessories,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
13,33445566-7788-49ab-c2d3-e4f5a6b7c8d9,Other Components,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
14,44556677-8899-4abc-d3e4-f5a6b7c8d9e0,Combos,2025-10-30T12:00:00.000Z,2025-10-30T12:00:00.000Z
