attribute_option_id,uuid,attribute_id,attribute_code,option_text
71,11111111-2222-4333-8444-555555555621,51,nand_type,QLC
72,11111111-2222-4333-8444-555555555622,52,mb_socket,AM4
73,11111111-2222-4333-8444-555555555623,52,mb_socket,AM5
74,11111111-2222-4333-8444-555555555624,52,mb_socket,LGA1200
75,11111111-2222-4333-8444-555555555625,52,mb_socket,LGA1700
76,11111111-2222-4333-8444-555555555626,53,mb_chipset,B650
77,11111111-2222-4333-8444-555555555627,53,mb_chipset,X670
78,11111111-2222-4333-8444-555555555628,53,mb_chipset,B760
79,11111111-2222-4333-8444-555555555629,53,mb_chipset,Z790
80,11111111-2222-4333-8444-555555555630,54,mb_form_factor,ATX
81,11111111-2222-4333-8444-555555555631,54,mb_form_factor,mATX
82,11111111-2222-4333-8444-555555555632,54,mb_form_factor,Mini-ITX
83,11111111-2222-4333-8444-555555555633,55,mb_memory_slots,2
84,11111111-2222-4333-8444-555555555634,55,mb_memory_slots,4
85,11111111-2222-4333-8444-555555555635,56,mb_memory_type,DDR4
86,11111111-2222-4333-8444-555555555636,56,mb_memory_type,DDR5
87,11111111-2222-4333-8444-555555555637,57,mb_pcie_slots,1 x16
88,11111111-2222-4333-8444-555555555638,57,mb_pcie_slots,2 x16
89,11111111-2222-4333-8444-555555555639,58,mb_sata_ports,4
90,11111111-2222-4333-8444-555555555640,58,mb_sata_ports,6
91,11111111-2222-4333-8444-555555555641,59,mb_m2_slots,1
92,11111111-2222-4333-8444-555555555642,59,mb_m2_slots,2
93,11111111-2222-4333-8444-555555555643,60,gpu_chipset,RTX 4060
94,11111111-2222-4333-8444-555555555644,60,gpu_chipset,RTX 4070
95,11111111-2222-4333-8444-555555555645,61,gpu_vram_size,8
96,11111111-2222-4333-8444-555555555646,61,gpu_vram_size,12
1,0669727d-fd71-45cf-b7af-ded0a3941fec,1,color,White
2,d4436f03-26b7-47be-8715-d60137baec28,1,color,Black
3,57a5b7c8-8aa3-4a5e-ac78-0b058efbdb32,1,color,Yellow
4,5aa9d530-574d-47b2-bbd0-4e781ecd7d36,2,size,XXL
5,e3d23a19-e9eb-4abd-b1d3-c5b584a3dc55,2,size,XL
6,54507bd3-380e-4346-80fb-dc708ff986e9,2,size,SM
7,11111111-2222-4333-8444-555555555557,24,cpu_cores,4
8,11111111-2222-4333-8444-555555555558,24,cpu_cores,6
9,11111111-2222-4333-8444-555555555559,24,cpu_cores,8
10,11111111-2222-4333-8444-555555555560,24,cpu_cores,12
11,11111111-2222-4333-8444-555555555561,26,ram_size,8
12,11111111-2222-4333-8444-555555555562,26,ram_size,16
13,11111111-2222-4333-8444-555555555563,26,ram_size,32
14,11111111-2222-4333-8444-555555555564,27,ram_type,DDR4
15,11111111-2222-4333-8444-555555555565,27,ram_type,DDR5
16,11111111-2222-4333-8444-555555555566,28,storage_ssd_size,256
17,11111111-2222-4333-8444-555555555567,28,storage_ssd_size,512
18,11111111-2222-4333-8444-555555555568,28,storage_ssd_size,1024
19,11111111-2222-4333-8444-555555555569,29,storage_hdd_size,1
20,11111111-2222-4333-8444-555555555570,29,storage_hdd_size,2
21,11111111-2222-4333-8444-555555555571,29,storage_hdd_size,4
22,11111111-2222-4333-8444-555555555572,31,os,Windows 11
23,11111111-2222-4333-8444-555555555573,31,os,Linux
24,11111111-2222-4333-8444-555555555574,32,psu_wattage,450
25,11111111-2222-4333-8444-555555555575,32,psu_wattage,550
26,11111111-2222-4333-8444-555555555576,32,psu_wattage,650
27,11111111-2222-4333-8444-555555555577,33,form_factor,ATX
28,11111111-2222-4333-8444-555555555578,33,form_factor,mATX
29,11111111-2222-4333-8444-555555555579,33,form_factor,Mini-ITX
30,11111111-2222-4333-8444-555555555580,34,ram_capacity,8
31,11111111-2222-4333-8444-555555555581,34,ram_capacity,16
32,11111111-2222-4333-8444-555555555582,34,ram_capacity,32
33,11111111-2222-4333-8444-555555555583,35,ram_frequency,2666
34,11111111-2222-4333-8444-555555555584,35,ram_frequency,3200
35,11111111-2222-4333-8444-555555555585,35,ram_frequency,3600
36,11111111-2222-4333-8444-555555555586,36,ram_form_factor,DIMM
37,11111111-2222-4333-8444-555555555587,36,ram_form_factor,SO-DIMM
38,11111111-2222-4333-8444-555555555588,37,ram_timings,CL16
39,11111111-2222-4333-8444-555555555589,37,ram_timings,CL18
40,11111111-2222-4333-8444-555555555590,39,cpu_socket,AM4
41,11111111-2222-4333-8444-555555555591,39,cpu_socket,AM5
42,11111111-2222-4333-8444-555555555592,39,cpu_socket,LGA1200
43,11111111-2222-4333-8444-555555555593,39,cpu_socket,LGA1700
44,11111111-2222-4333-8444-555555555594,40,cpu_series,Ryzen 5
45,11111111-2222-4333-8444-555555555595,40,cpu_series,Ryzen 7
46,11111111-2222-4333-8444-555555555596,40,cpu_series,Core i5
47,11111111-2222-4333-8444-555555555597,40,cpu_series,Core i7
48,11111111-2222-4333-8444-555555555598,41,cpu_threads,8
49,11111111-2222-4333-8444-555555555599,41,cpu_threads,12
50,11111111-2222-4333-8444-555555555600,41,cpu_threads,16
51,11111111-2222-4333-8444-555555555601,43,cpu_tdp,65
52,11111111-2222-4333-8444-555555555602,43,cpu_tdp,95
53,11111111-2222-4333-8444-555555555603,43,cpu_tdp,105
54,11111111-2222-4333-8444-555555555604,44,cpu_igpu,Yes
55,11111111-2222-4333-8444-555555555605,44,cpu_igpu,No
56,11111111-2222-4333-8444-555555555606,45,storage_type,SSD
57,11111111-2222-4333-8444-555555555607,45,storage_type,HDD
58,11111111-2222-4333-8444-555555555608,46,storage_form_factor,2.5
59,11111111-2222-4333-8444-555555555609,46,storage_form_factor,3.5
60,11111111-2222-4333-8444-555555555610,46,storage_form_factor,M.2
61,11111111-2222-4333-8444-555555555611,47,storage_interface,SATA
62,11111111-2222-4333-8444-555555555612,47,storage_interface,NVMe
63,11111111-2222-4333-8444-555555555613,47,storage_interface,PCIe
64,11111111-2222-4333-8444-555555555614,48,storage_capacity,256 GB
65,11111111-2222-4333-8444-555555555615,48,storage_capacity,512 GB
66,11111111-2222-4333-8444-555555555616,48,storage_capacity,1 TB
67,11111111-2222-4333-8444-555555555617,48,storage_capacity,2 TB
68,11111111-2222-4333-8444-555555555618,51,nand_type,SLC
119,11111111-2222-4333-8444-555555555669,71,case_max_gpu_length,320
120,11111111-2222-4333-8444-555555555670,72,case_max_cooler_height,160
121,11111111-2222-4333-8444-555555555671,73,case_fan_support,120mm
122,11111111-2222-4333-8444-555555555672,73,case_fan_support,140mm
