attribute_id,uuid,attribute_code,attribute_name,type,is_required,display_on_frontend,sort_order,is_filterable
2,4acbf5b2-e971-4186-a280-da3a54d1e9d1,tilstand,tilstand,select,false,true,2,true
3,6b8d45e1-c2f3-4a7d-b5f8-9e1c34d2a7f3,status,status,select,false,true,3,true
5,3c5e67f9-b1d2-4c8a-9e3f-5d7a8b2c4e6d,produkttype,produkttype,select,false,true,5,true
6,7d8e45a2-b3c1-4f6a-9e5d-1c7f8a3b4e6c,kapasitet,kapasitet,select,false,true,6,true
8,5e7c9a2b-d4f6-8e1c-3b5a-7f9c1e4b6d8a,formfaktor,produktformfaktor,select,false,true,8,true
1,18ada886-870c-452f-89e5-68c5910cd222,garanti,garanti (måneder),select,false,true,1,true
4,9a2e47b8-d3c1-4e6a-8f5b-2c8d6e4f7a1c,produktnummer,produktnummer,text,false,true,4,false
7,2b4c6d8e-f1a3-5e7c-9b2d-4a6c8e1f3b5a,nand_flash_minne,nand-flashminnetype,select,false,true,7,true
9,8c1e3b5a-7f9d-2b4c-6e8a-5d7f1b3c4e6a,grensesnitt,grensesnitt,select,false,true,9,true
10,1d3f5b7a-9c2e-4b6d-8f1a-5c7e9b3d4f6a,hoyde,høyde,text,false,true,10,false
11,4f6a8c1e-3b5d-7f9a-2c4e-6b8d1f3a5c7e,bredde,bredde,text,false,true,11,false
12,7a9c1e3b-5f7d-2b4a-6c8e-1d3f5a7b9c8e,dybde,dybde,text,false,true,12,false
13,3b5d7f9a-1c2e-4b6d-8f1a-5c7e9b3d4f6a,vekt,vekt,text,false,true,13,false
14,6d8f1a3c-5e7b-9a2d-4b6c-8e1f3a5c7d9e,ean,ean,text,false,true,14,false
15,2c4e6b8d-1f3a-5c7e-9b2d-4a6c8e1f3b5a,holdbarhet,ssd-holdbarhet,text,false,true,15,false
16,5c7e9b3d-4f6a-8c1e-3b5a-7f9d2b4c6e8a,dataoverforing,dataoverføringshastighet,text,false,true,16,false
17,8e1f3a5c-7d9e-2b4c-6a8d-1f3b5c7d9e8a,intern_hastighet,intern datahastighet,text,false,true,17,false
18,1f3b5c7d-9e8a-2c4e-6b8d-1f3a5c7d9e8b,lesing,4 kb-direktelesning,text,false,true,18,false
19,4a6c8e1f-3b5a-7d9e-2c4b-6a8d1f3b5c7d,skrivning,4 kb-direkteskrivning,text,false,true,19,false
20,7d9e2b4c-6a8d-1f3b-5c7d-9e8a2c4e6b8f,mtbf,mtbf,text,false,true,20,false
21,9e8a2c4e-6b8f-1d3b-5a7c-9e8b2d4f6a8c,stromforbruk,strømforbruk,text,false,true,21,false
22,2d4f6a8c-1e3b-5d7f-9a2c-4e6b8d1f3a5c,standarder,tilpassede standarder,text,false,true,22,false
23,7a2bb2d5-6d7f-4f7b-9c9e-7d4b3f1e2a10,cpu_model,CPU model,text,false,true,1,true
24,1f9d3b17-8b6a-4e6a-9d5a-3b1f5e7c9d21,cpu_cores,CPU cores,select,false,true,2,true
25,5b2e7c91-3d4a-4a9b-8e2d-4c6a9f1b2d32,cpu_base_clock,CPU base clock (GHz),text,false,true,3,false
26,92c7f4e1-6a3b-41c2-a7d9-6e2f9b3c4d43,ram_size,System RAM size (GB),select,false,true,4,true
27,3a1d5f7b-8c9e-4f02-b3a6-1d2e3f4a5b54,ram_type,System RAM type,select,false,true,5,true
28,ab4c9e71-2d3f-4b5a-9c7e-8a1b2c3d4e65,storage_ssd_size,SSD size (GB),select,false,true,6,true
29,4c7e1a2b-3d5f-4a6b-8c9e-1f2a3b4c5d76,storage_hdd_size,HDD size (TB),select,false,true,7,true
30,8e3d1b2a-5c7f-4e9a-8a1b-2c3d4e5f6a87,gpu_model,GPU model,text,false,true,8,true
31,0a9f1e2d-3c4b-4a5e-9f7a-1b2c3d4e5f98,os,Operating system,select,false,true,9,true
32,6b1c2d3e-4f5a-4b6c-8d9e-0f1a2b3c4d09,psu_wattage,PSU wattage (W),select,false,true,10,true
33,bc2d3e4f-5a6b-47c8-9d0e-1a2b3c4d5e10,form_factor,Case form factor,select,false,true,11,true
34,1c3e5a7b-9d0e-4a1b-8c2d-3e4f5a6b7c11,ram_capacity,RAM capacity (GB),select,false,true,1,true
35,2d4f6a8b-0c1d-4e2f-9a3b-4c5d6e7f8a12,ram_frequency,RAM frequency (MHz),select,false,true,2,true
36,3e5a7b9c-1d2e-4f3a-8b4c-5d6e7f8a9b13,ram_form_factor,RAM form factor,select,false,true,3,true
