Login,Logg inn
Logout,Logg ut
Email,E-post
Password,Passord
Forgot your password?,Glemt passordet ditt?
Create an account,Opprett en konto
Register,Registrer
Full Name,Fullt navn
Full name,Fullt navn
SIGN IN,Logg inn
SIGN UP,Registrer deg
Order History,Bestillingshistorikk
Account Details,Kontodetaljer
You have not placed any orders yet,Du har ikke lagt inn noen bestillinger ennå
My Account,Min konto
Already have an account?,Har du allerede en konto?
Contact information,Kontaktinformasjon
City,By
Account Information,Kontoopplysninger
Address,Adresse
Postcode,Postnummer
Postcode is required,Postnummer er påkrevd
Telephone is required,Telefonnummer er påkrevd
Telephone,Telefon
Full name is required,Fullt navn er påkrevd
Country is required,Land er påkrevd
Country,Land
Province is required,Provins er påkrevd
Province,Provins
Billing Address,Fakturaadresse
Shipping Address,Leveringsadresse
Create A New Account,Opprett en ny konto
Contact,Kontakt
Customer information,Kundeinformasjon
Address Book,Adressebok
You have no addresses saved,Du har ingen lagrede adresser
Add new address,Legg til ny adresse
Home,Hjem
Cart,Handlekurv
Pending,Ventende
Delivered,Levert
Paid,Betalt
Canceled,Avbrutt
Cancelled,Avbrutt
Processing,Behandles
Shipped,Sendt
